112,none,huette/all/a03/door/sensors/opened
113,2uint322ascii,huette/all/000/ccu/sensors/time
115,uint322ascii,huette/serverraum/000/filebitch/sensors/ftp_diskusage_percent
116,uint322ascii,huette/all/000/router/sensors/rx_bytes_s
117,uint322ascii,huette/all/000/router/sensors/tx_bytes_s
200,uint322ascii,huette/clubraum/000/ds18b20/sensors/temperatur
201,uint322ascii,huette/all/000/airmonitor/sensors/temp
202,uint322ascii,huette/all/000/airmonitor/sensors/hum
203,uint322ascii,huette/all/000/airmonitor/sensors/airq
204,uint322ascii,huette/all/000/airmonitor/sensors/pm2_5
205,uint322ascii,huette/all/000/airmonitor/sensors/pm10
111,uint322ascii,huette/all/000/electr_meter_huette/sensors/actual_active_power
118,uint322ascii,huette/all/a03/flashlight/target_values/activate
119,bytecolor2colorcode,internetdata/all/000/cheerlights/target_values/get_actual_color
120,pixelbin2ascii,waschkaue/eingangshalle/000/uhr/actuators/set_pixel
206,uint322ascii,huette/serverraum/000/ds18b20/sensors/temperatur1
207,uint322ascii,huette/serverraum/000/ds18b20/sensors/temperatur2
208,uint322ascii,huette/all/000/ccu/sensors/mqtt_received
209,uint322ascii,huette/all/000/ccu/sensors/mqtt_sent
121,none,huette/clubraum/000/ccu/actuators/5v
114,uint322ascii,huette/all/000/router/sensors/connected_devices
300,pixelbin2ascii,huette/clubraum/000/ws2812tonne/actuators/set_pixel
301,none,huette/clubraum/000/redshift/actuators/set_pixel
302,none,huette/clubraum/000/drucki/actuators/print_text

